Headline,Description,URL
"Trump's claim Nato troops avoided Afghanistan front line sparks outrage in UKThe US president says Nato troops stayed ""a little off the front lines"" - despite 457 UK military deaths in the conflict.Just nowUK","The US president says Nato troops stayed ""a little off the front lines"" - despite 457 UK military deaths in the conflict.",https://www.bbc.com/news/articles/czr444j671vo
TikTok closes deal to split US app from global businessThe app was due to be banned in the US a year ago if its Chinese owner didn't sell its business in America.5 hrs agoBusiness,The app was due to be banned in the US a year ago if its Chinese owner didn't sell its business in America.,https://www.bbc.com/news/articles/c3edd1l328lo
"Dozens of sanctioned Russian tankers navigate Channel despite UK vow of 'assertive' actionSome 42 sanctioned tankers has passed through the Channel since 11 January, a BBC Verify analysis finds.4 hrs agoEurope","Some 42 sanctioned tankers has passed through the Channel since 11 January, a BBC Verify analysis finds.",https://www.bbc.com/news/articles/c2d77rr51rko
"Could Trump's new Board of Peace sideline the struggling UN?The US president has promised to ""end decades of suffering"" but critics dismiss his Board of Peace as a vainglorious project.12 hrs agoBBC InDepth","The US president has promised to ""end decades of suffering"" but critics dismiss his Board of Peace as a vainglorious project.",https://www.bbc.com/news/articles/cn8jj228g2vo
US-TikTok deal: A new reality for China's tech champions?It is a challenge for TikTok's parent company ByteDance as well as global ambitions for other Chinese tech companies.2 hrs ago,It is a challenge for TikTok's parent company ByteDance as well as global ambitions for other Chinese tech companies.,https://www.bbc.com/news/articles/c6200mz054yo
A national tragedy 30 years ago united Australia. Why hasn't the Bondi shooting?Political spats brewing since the tragedy last month have overshadowed a national day of mourning.11 hrs agoAustralia,Political spats brewing since the tragedy last month have overshadowed a national day of mourning.,https://www.bbc.com/news/articles/cx2yy4n1vlgo
"Vietnam's leader returns to power with bold promises. Can he deliver?To Lam resumes the role of communist party chief, the post he currently holds, for the next five years.3 hrs agoAsia","To Lam resumes the role of communist party chief, the post he currently holds, for the next five years.",https://www.bbc.com/news/articles/c20zzq8we8wo
"Social media firms have come to ban 'kicking and screaming', says Australia eSafety boss",,https://www.bbc.com/news/articles/c5y33xjmm3mo
Fugitive Australian shooter on bail at time of alleged murders,,https://www.bbc.com/news/articles/c98pp20gj83o
Teens among missing after landslide at  New Zealand campsite,,https://www.bbc.com/news/articles/c14rr5pnd80o
Trump withdraws Canada's invite to  'Board of Peace',,https://www.bbc.com/news/articles/cn7jjp8gl0jo
"Why so many women end up 'menopause masking' - but it can have consequences, as I discovered",,https://www.bbc.com/news/articles/c23e1n3ge29o
